,lyrics
93711,"It's Vinnie paz daddy! Jedi mind tricks!
My man Stoupe holdin' it down
It's the real raw shit
The hardcore shit, kna-am sayin'?
Yeah
Friday the thirteen-style slashing ya face
Bashing ya face, tell ya army, get back to their base
C'mon cousin, that's how we get down
We the only reason that you eat and breath in this town
We beatin' them down
Raise a blade, buck 50
I rap like no one out there can fuck with me
Stuck with me, we ain't leaving the game
And keep it dirty cause we never had a reason to change
We keep it the same, start a war with the glock nine
And thug like a mob, and rock mine
So let me speak the truth again
The ancient babylonian's with nubian
You need to watch what you read in your class
'Cause the devil try to have you or repeatin the pass
I'm ready to go to war for Mumia
Fuck George Bush and his war, we gawn see him
Yeah, walk with me now
Yeah, walk with me now
Tryna step into the zone with Vinnie Paz is a
understand that I ain't really fuckin around
Yea... Yea, walk with me now
Live raps crack ya jaw (Live raps crack ya jaw)
Yea, walk with me now
I came down, the shame clown, kickin' my same sound
I'ma reign now, giant fist-splitted James Brown
I'm the poet, who rhymes was quoted
Lines are loaded
Shine decoded the vote and flow and showing signs I wrote it
At a auction, B, style cost some g's
Challangers eyes makes tears like they're forced of these
Percee P, that's me I get nasty
Rock it flashy, pass me the mic at your ass, G
But I make wrecks, tape decks at my apex
Packing latex, and safe sex with chicks and stricken paychecks
Killing ya, fillin' ya with rhymes similar
To bullets in the cylinder of a dillinger spillin' ya brainfat
I'll blast ya later, you be then essays
And be there next day like JFK's assasinator
Nobody, ever win to represent us, never did
Why you had to take us, I take every cent and your hottie
Yea, walk with me now
Yea, walk with me now
Tryna step into the zone with Vinnie Paz is a
Understand that I ain't really fuckin' around
I'm like a dessert eagle when the hammer is cocked back
Anybody holdin' any money should drop that
We shot back, spit a gospel of force
And burn y'll, with my philosophical torch
We're just tryna bring the raw shit
Smoke a L, drink a forty on the block, raw shit
The hardcore shit, for ya'll the dumbed out
Standin' the back of the club and pull the gun out
Everybody run out, the sun out, it's over
I'll take it back to the past like Sankofa
Yea, it's vinnie paz baby. Stoupe the enemy of mankind
It's like a brotherhood, it's all blood
It's all love baby, it's all love
Walk with me now
Walk with me now, what's the deal baby?
Walk with me now
It's Jedi mind, steadily shine
Live from the 215, keepin' it live aight? Yeah, yeah"
39865,"Cum girl, I'm tryna get your pussy wet
Work that, lemme see you drip sweat
Cum girl, I'm tryna get your pussy wet
Work that, lemme see you drip sweat
Gon play with it
Gon play with it
Gon play with it
Gon play with it
Gon play with it
Work that clit
Cum girl
Finger fuck your pussy like you want some, girl
Work it like a nigga straight licking on your pearl
I want to see you cum in the middle of the dance floor
A nigga can't fuck, what you think a friend of me for
I'ma beat that pussy up
You get it wet enough, I might lick it up
Lickey, lickey, lickey, like a peppermint swirl
Lick that clit
Cum girl
Uh, I want to see your legs shake
Take you to the crib, we can fuck til the bed break
Uh, fuck you til your pussy ache
Think about the type right now, girl, mastur
(Uh uh) Beg for a nigga, freak you in the clubs
stop worrying about them other hoes
It's me in your world
Work that clit
Cum girl
Cum girl, I'm tryna get your pussy wet
Work that, lemme see you drip sweat
Cum girl, I'm tryna get your pussy wet
Work that, lemme see you drip sweat
Gon play with it
Gon play with it
Gon play with it
Gon play with it
Gon play with it
Work that clit
Cum girl
Cum when you're feeling good, lick it all off
Catch it in your mouth, like your last name Moss
Play with the nitty girl, stick it on in
I'm feeling real freaky girl, bring your friends
I can make 'em bounce like 1, 2, 3
It ain't nothin' to a pimp, girl, play with the g-spot
Make it hot, gon on, get your girl, Sheryl
Bring your clique
Cum girl
And I'ma make 'em all cum
Beat it like Mr. Calipark on the drum
I'ma beat it like Mike when he fucked Billie Jean
Work it, work it, work it, til you make that pussy cream
Move it to the right, move your finger to the left
Work it all around til your ass outta breath
I ain't tripping on ya baby, put some dick in your world
Work that clit
Cum girl
Cum girl, I'm tryna get your pussy wet
Work that, lemme see you drip sweat
Cum girl, I'm tryna get your pussy wet
Work that, lemme see you drip sweat
Gon play with it
Gon play with it
Gon play with it
Gon play with it
Gon play with it
Work that clit
Cum girl
Bend it on over, lemme see it from the back
Work your thumb in it girl, I love it like that
Freaky ass hoes, lil freaky ass men
Lemme work ya slow, lemme see it going in
Then you pull it out, put your fingers in your mouth
You make a nigga want to fuck your ass on the couch
While we're still in the club, show your pussy love
Work that clit
Cum girl
Go on and hit the dance floor
Open up wide, lemme show you what's it made for
Uh, like a finger, like a donkey
Lemme see you play, play with your monkey
Damn, cause your ass so chunky
Bring it here, sweaty, cause I love it when it's funky
I'ma put some dick in your world
Work that clit
(un-edited version)
Cum girl, I'm tryna get your pussy wet
Work that, lemme see you drip sweat
Cum girl, I'm tryna get your pussy wet
Work that, lemme see you drip sweat
Gon play with it
Gon play with it
Gon play with it
Gon play with it
Gon play with it
Work that clit
Cum girl
Work that clit
Cum girl"
141946,"Angels fall to earth
World heats down, cool
Now your heart is cold
Waiting on the summer
Of my soul
Of my soul
Of my soul
Of my soul
Devil-girl you must burn
Burn at the touch of autumn's breath
Burn that heart of cold
Simmering in the Samhain
Of my soul
Gotta wait on the Samhain of my soul, yeah
Gonna bring your world down in fire
Angels fall to earth
World heats down
Oh, now you heart is cold
Waiting on the summer
Of my soul
Gotta wait on the Samhain of my soul, yeah
Gonna bring your world down in fire
Gotta wait on the Samhain of my soul, yeah
Gonna bring your world down in fire
Come wrap my love in your house of ice
Melt you down more than once or twice
Make you shake till the world aligns
See your body tremble with the blood on fire
'Cause the season in my veins will end your world
To the season of the flames you must pray and learn
Change all the things that you've ever seen
Change all vision, kill all endings
Gotta wait on the Samhain of my soul, ooh yeah
Gonna bring your world down in fire
Gotta wait on the Samhain of my soul, ooh yeah
Gonna bring your world down in fire
Gotta wait on the Samhain of my soul, ooh yeah
Gonna bring your world down in fire
Gotta wait on the Samhain of my soul, ooh yeah
Gonna bring your world down in fire"
76794,
100278,"I stocked up on the ropes and the chains.
Can we keep things together now?
My mind is a broken shell and the last pieces
Are covering the bathroom...
Which way to the door.
I'm being chased by doctors.
Lucid and tranquil.
I've got my sanity.
Everything I ever was in mapped out on the whiteboard,
For everyone and anyone.
Someone please show me the door.
To sanctity my sanctuary
Is hidden deep inside from most.
And the secrets in the locket I wear,
They've been prescribed by doctors.
I need more.
Lucid and Tranquil.
I've got my sanity.
Everything I ever was is mapped out on the whiteboard,
For everyone and anyone.
Someone please show me the room.
Where I lost my innocence
Into a vacuum of paranoid secrecy.
Is everybody after me?
Someone please show me more,
Show me more..."
78014,"If this is a game, then I don't want to play.
This means too much to me and you're so far away.
But I will wait for you.
We can see this through.
Now it's up to you.
Please tell me, you feel the same way too.
A simple touch, the look in your eye,
The sound of your voice.
They do something to me I've never felt but I don't ever want to leave.
Looks like it's happened to me once again.
Things are over before they started, another goodbye,
Unless you want to, try and I'll promise you I'll try.
A warm embrace; it's been a while since I've seen your pretty face.
If you would let me,
I don't think I would ever leave this place.
Every shared night just feels so right when I wake up with you in my arms,
Staring into my eyes.
Tell me that you'll be waiting."
304721,
253399,"It's hard for me to comprehend
Holding on with broken hands
But who will understand
Wallow in the acid rain
What's in store for us today
It's never gonna feel the same
I'm waiting for an angel now
To carry me above the clouds
Cause it's a long way home for the summer
And it's a long way up without a ladder
It's a long way home
And it's a long way down
Swallowing the bitter taste
Trying to find a remedy
Before the crystal breaks
Looking at a picture show
Frame by frame you see us grow
To something you don't know
You're trying to find a reason now
Behind a face, you see a child
It's a long way home for the summer
And it's a long way up without a ladder
And it's a long way home
And it's a long way down"
213189,
169805,"THERE ROSE A LAMB
IT WAS THE THIRD DAY SINCE HE DIED
AND IT WAS SAID HE WOULD ARISE
THEN FROM THE GRAVE THIS LAMB CAME FORTH
OH I HAVE REASON TO REJOICE
HE CHOSE THE PLACE, HE CHOSE THE HOUR
THAT HE WOULD RISE BY HIS OWN POWER
A SACRIFICE THREE DAYS AGO
AND NOW PRAISE GOD THE LAMB AROSE
CHORUS
THERE ROSE A LAMB IN JERUSALEM
HE WAS THE SON OF THE GREAT I AM
HE PROVED TO BE MY VICTORY
THERE ROSE A LAMB IN JERUSALEM
I WASN`T THERE WHEN JESUS DIED
I WASN`T THERE TO SEE HIM RISE
BUT I WAS THERE WHEN HE SAVED MY SOUL
FOR WITHIN MY HEART HIS LOVE AROSE
CHORUS
THERE ROSE A LAMB IN JERUSALEM
HE WAS THE SON OF THE GREAT I AM
HE PROVED TO BE MY VICTORY
THERE ROSE A LAMB IN JERUSALEM
HE AROSE, HE AROSE HALLELUJAH CHRIST AROSE
HE AROSE, HE AROSE HALLELUJAH CHRIST AROSE
HE PROVED TO BE MY VICTORY
THERE ROSE A LAMB IN JERUSALEM"
